#   x       y(x)         y(x)^2         classical p(x)      V
-10.000  0.19939907E-18  0.39759990E-37  0.00000000E+00   50.000000
 -9.990  0.40061339E-18  0.16049109E-36  0.00000000E+00   49.900050
 -9.980  0.60546735E-18  0.36659072E-36  0.00000000E+00   49.800200
 -9.970  0.81581033E-18  0.66554650E-36  0.00000000E+00   49.700450
 -9.960  0.10335332E-17  0.10681908E-35  0.00000000E+00   49.600800
 -9.950  0.12605849E-17  0.15890743E-35  0.00000000E+00   49.501250
 -9.940  0.14989900E-17  0.22469709E-35  0.00000000E+00   49.401800
 -9.930  0.17508658E-17  0.30655309E-35  0.00000000E+00   49.302450
 -9.920  0.20184410E-17  0.40741043E-35  0.00000000E+00   49.203200
 -9.910  0.23040750E-17  0.53087617E-35  0.00000000E+00   49.104050
 -9.900  0.26102775E-17  0.68135489E-35  0.00000000E+00   49.005000
 -9.890  0.29397303E-17  0.86420145E-35  0.00000000E+00   48.906050
 -9.880  0.32953097E-17  0.10859066E-34  0.00000000E+00   48.807200
 -9.870  0.36801106E-17  0.13543214E-34  0.00000000E+00   48.708450
 -9.860  0.40974726E-17  0.16789282E-34  0.00000000E+00   48.609800
 -9.850  0.45510076E-17  0.20711670E-34  0.00000000E+00   48.511250
 -9.840  0.50446294E-17  0.25448286E-34  0.00000000E+00   48.412800
 -9.830  0.55825868E-17  0.31165276E-34  0.00000000E+00   48.314450
 -9.820  0.61694977E-17  0.38062702E-34  0.00000000E+00   48.216200
 -9.810  0.68103874E-17  0.46381376E-34  0.00000000E+00   48.118050
 -9.800  0.75107292E-17  0.56411053E-34  0.00000000E+00   48.020000
 -9.790  0.82764895E-17  0.68500278E-34  0.00000000E+00   47.922050
 -9.780  0.91141757E-17  0.83068198E-34  0.00000000E+00   47.824200
 -9.770  0.10030889E-16  0.10061873E-33  0.00000000E+00   47.726450
 -9.760  0.11034382E-16  0.12175758E-33  0.00000000E+00   47.628800
 -9.750  0.12133119E-16  0.14721258E-33  0.00000000E+00   47.531250
 -9.740  0.13336349E-16  0.17785819E-33  0.00000000E+00   47.433800
 -9.730  0.14654172E-16  0.21474476E-33  0.00000000E+00   47.336450
 -9.720  0.16097627E-16  0.25913360E-33  0.00000000E+00   47.239200
 -9.710  0.17678776E-16  0.31253911E-33  0.00000000E+00   47.142050
 -9.700  0.19410798E-16  0.37677907E-33  0.00000000E+00   47.045000
 -9.690  0.21308098E-16  0.45403503E-33  0.00000000E+00   46.948050
